gene	gene_name
ENSG00000006071.14	ABCC8
ENSG00000170011.14	MYRIP
ENSG00000171657.6	GPR82
ENSG00000169347.16	GP2
ENSG00000169629.11	RGPD8
ENSG00000172362.3	OR5B12
ENSG00000172365.3	OR5B2
ENSG00000171532.5	NEUROD2
ENSG00000171097.14	KYAT1
ENSG00000197887.4	OR1S2
ENSG00000175395.16	ZNF25
ENSG00000172377.2	OR9I1
ENSG00000197532.2	OR6Y1
ENSG00000279051.4	OR6Q1
ENSG00000171450.5	CDK5R2
ENSG00000172137.19	CALB2
ENSG00000116521.11	SCAMP3
ENSG00000169313.9	P2RY12
ENSG00000150995.19	ITPR1
ENSG00000172382.10	PRSS27
ENSG00000170893.4	TRH
ENSG00000171133.3	OR2K2
ENSG00000171612.7	SLC25A33
ENSG00000166199.13	ALKBH3
ENSG00000172409.6	CLP1
ENSG00000168291.13	PDHB
ENSG00000171223.6	JUNB
ENSG00000168876.9	ANKRD49
ENSG00000169679.15	BUB1
ENSG00000044115.21	CTNNA1
ENSG00000170584.11	NUDCD2
ENSG00000168297.15	PXK
ENSG00000172425.10	TTC36
ENSG00000168924.15	LETM1
ENSG00000170255.7	MRGPRX1
ENSG00000157654.17	PALM2-AKAP2
ENSG00000105146.12	AURKC
ENSG00000168939.11	SPRY3
ENSG00000075539.14	FRYL
ENSG00000168306.13	ACOX2
ENSG00000172345.14	STARD5
ENSG00000171105.14	INSR
ENSG00000171469.11	ZNF561
ENSG00000168228.15	ZCCHC4
ENSG00000108312.15	UBTF
ENSG00000170889.14	RPS9
ENSG00000171303.7	KCNK3
ENSG00000170925.3	TEX13B
ENSG00000169992.10	NLGN2
ENSG00000170892.12	TSEN34
ENSG00000170613.4	FAM71B
ENSG00000169840.4	GSX1
ENSG00000171790.15	SLFNL1
ENSG00000132535.19	DLG4
ENSG00000172457.6	OR9G4
ENSG00000169900.7	PYDC1
ENSG00000186184.18	POLR1D
ENSG00000172349.17	IL16
ENSG00000172216.5	CEBPB
ENSG00000169427.8	KCNK9
ENSG00000047648.23	ARHGAP6
ENSG00000168928.13	CTRB2
ENSG00000172487.4	OR8J1
ENSG00000169436.17	COL22A1
ENSG00000169118.18	CSNK1G1
ENSG00000172489.6	OR5T3
ENSG00000159147.18	DONSON
ENSG00000170577.8	SIX2
ENSG00000064490.14	RFXANK
ENSG00000169379.15	ARL13B
ENSG00000168685.15	IL7R
ENSG00000169223.15	LMAN2
ENSG00000171984.15	SHLD1
ENSG00000171812.13	COL8A2
ENSG00000111554.14	MDM1
ENSG00000172336.5	POP7
ENSG00000171208.9	NETO2
ENSG00000170091.11	NSG2
ENSG00000168333.13	PPDPFL
ENSG00000169230.10	PRELID1
ENSG00000172354.10	GNB2
ENSG00000171119.2	NRTN
ENSG00000170571.12	EMB
ENSG00000171124.13	FUT3
ENSG00000171433.12	GLOD5
ENSG00000164588.7	HCN1
ENSG00000172071.13	EIF2AK3
ENSG00000169228.14	RAB24
ENSG00000172073.4	TEX37
ENSG00000168936.11	TMEM129
ENSG00000110422.12	HIPK3
ENSG00000170515.14	PA2G4
ENSG00000176371.14	ZSCAN2
ENSG00000168288.13	MMADHC
ENSG00000168131.4	OR2B2
ENSG00000172379.21	ARNT2
ENSG00000172828.13	CES3
ENSG00000169241.19	SLC50A1
ENSG00000169432.16	SCN9A
ENSG00000168778.12	TCTN2
ENSG00000011028.14	AC080038.1
ENSG00000171241.9	SHCBP1
ENSG00000169057.22	MECP2
ENSG00000144285.20	SCN1A
ENSG00000198353.8	HOXC4
ENSG00000169925.16	BRD3
ENSG00000170638.9	TRABD
ENSG00000168374.11	ARF4
ENSG00000180806.5	HOXC9
ENSG00000169519.21	METTL15
ENSG00000180818.5	HOXC10
ENSG00000171806.12	METTL18
ENSG00000169814.13	BTD
ENSG00000140386.13	SCAPER
ENSG00000169208.2	OR10G3
ENSG00000170634.13	ACYP2
ENSG00000121892.15	PDS5A
ENSG00000170881.4	RNF139
ENSG00000170906.15	NDUFA3
ENSG00000170345.10	FOS
ENSG00000160741.17	CRTC2
ENSG00000170348.9	TMED10
ENSG00000169564.6	PCBP1
ENSG00000168661.14	ZNF30
ENSG00000168135.4	KCNJ4
ENSG00000168286.2	THAP11
ENSG00000148090.11	AUH
ENSG00000171735.19	CAMTA1
ENSG00000170262.12	MRAP
ENSG00000087903.13	RFX2
ENSG00000169554.21	ZEB2
ENSG00000154781.16	CCDC174
ENSG00000171310.11	CHST11
ENSG00000170959.14	DCDC1
ENSG00000169599.12	NFU1
ENSG00000169604.19	ANTXR1
ENSG00000172456.17	FGGY
ENSG00000169789.10	PRY
ENSG00000170043.11	TRAPPC1
ENSG00000169507.9	SLC38A11
ENSG00000131650.14	KREMEN2
ENSG00000170786.12	SDR16C5
ENSG00000172186.7	HMGN1P35
ENSG00000170791.17	CHCHD7
ENSG00000169800.13	RBMY1F
ENSG00000156239.12	N6AMT1
ENSG00000169618.6	PROKR1
ENSG00000170049.9	KCNAB3
ENSG00000169621.10	APLF
ENSG00000169807.10	PRY2
ENSG00000170684.9	ZNF296
ENSG00000104313.20	EYA1
ENSG00000169891.18	REPS2
ENSG00000170374.6	AC073611.1
ENSG00000171804.10	WDR87
ENSG00000166508.17	MCM7
ENSG00000213760.10	ATP6V1G2
ENSG00000234414.7	RBMY1A1
ENSG00000171772.16	SYCE1
ENSG00000168090.10	COPS6
ENSG00000277075.2	HIST1H2AE
ENSG00000170775.2	GPR37
ENSG00000243040.6	RBMY2FP
ENSG00000170961.7	HAS2
ENSG00000170955.10	CAVIN3
ENSG00000170209.4	ANKK1
ENSG00000269858.6	EGLN2
ENSG00000047365.12	ARAP2
ENSG00000169849.8	TSPY14P
ENSG00000169258.7	GPRIN1
ENSG00000070495.14	JMJD6
ENSG00000171453.20	POLR1C
ENSG00000171291.8	ZNF439
ENSG00000118960.13	HS1BP3
ENSG00000157985.19	AGAP1
ENSG00000169567.11	HINT1
ENSG00000169035.12	KLK7
ENSG00000172057.10	ORMDL3
ENSG00000170852.11	KBTBD2
ENSG00000169570.10	DTWD2
ENSG00000171295.12	ZNF440
ENSG00000170468.7	RIOX1
ENSG00000168993.15	CPLX1
ENSG00000141968.8	VAV1
ENSG00000185013.16	NT5C1B
ENSG00000172146.2	OR1A1
ENSG00000170745.12	KCNS3
ENSG00000172148.3	OR7A2P
ENSG00000196357.11	ZNF565
ENSG00000169129.15	AFAP1L2
ENSG00000168497.5	CAVIN2
ENSG00000128641.19	MYO1B
ENSG00000078549.14	ADCYAP1R1
ENSG00000169609.14	C15orf40
ENSG00000169612.4	RAMAC
ENSG00000172159.16	FRMD3
ENSG00000168298.6	HIST1H1E
ENSG00000170425.3	ADORA2B
ENSG00000103942.13	HOMER2
ENSG00000170983.4	LINC00208
ENSG00000172476.4	RAB40A
ENSG00000197050.11	ZNF420
ENSG00000170128.4	GPR25
ENSG00000171478.7	SPACA5B
ENSG00000171067.11	C11orf24
ENSG00000168096.14	ANKS3
ENSG00000170276.6	HSPB2
ENSG00000168101.14	NUDT16L1
ENSG00000168631.12	MUCL3
ENSG00000169020.10	ATP5ME
ENSG00000103932.12	RPAP1
ENSG00000113648.16	H2AFY
ENSG00000169989.2	TIGD4
ENSG00000119698.12	PPP4R4
ENSG00000171489.10	SPACA5
ENSG00000172322.14	CLEC12A
ENSG00000110066.15	KMT5B
ENSG00000168676.11	KCTD19
ENSG00000169676.5	DRD5
ENSG00000170537.13	TMC7
ENSG00000170006.12	TMEM154
ENSG00000145730.20	PAM
ENSG00000172209.6	GPR22
ENSG00000170837.2	GPR27
ENSG00000170540.15	ARL6IP1
ENSG00000169327.5	OR5AU1
ENSG00000170820.11	FSHR
ENSG00000171889.4	MIR31HG
ENSG00000170917.13	NUDT6
ENSG00000012660.14	ELOVL5
ENSG00000186416.14	NKRF
ENSG00000171824.14	EXOSC10
ENSG00000174358.16	SLC6A19
ENSG00000171943.11	SRGAP2C
ENSG00000171794.4	UTF1
ENSG00000171861.11	MRM3
ENSG00000147889.17	CDKN2A
ENSG00000171056.8	SOX7
ENSG00000168582.4	CRYGA
ENSG00000169194.9	IL13
ENSG00000171202.7	TMEM126A
ENSG00000153165.18	RGPD3
ENSG00000169592.15	INO80E
ENSG00000171060.11	C8orf74
ENSG00000169744.13	LDB2
ENSG00000172410.4	INSL5
ENSG00000109686.18	SH3D19
ENSG00000170325.14	PRDM10
ENSG00000005889.15	ZFX
ENSG00000171551.12	ECEL1
ENSG00000172215.6	CXCR6
ENSG00000171848.15	RRM2
ENSG00000168955.3	TM4SF20
ENSG00000168958.19	MFF
ENSG00000171798.18	KNDC1
ENSG00000170423.12	KRT78
ENSG00000168234.13	TTC39C
ENSG00000169862.19	CTNND2
ENSG00000169385.3	RNASE2
ENSG00000168542.14	COL3A1
ENSG00000169397.3	RNASE3
ENSG00000168124.2	OR1F1
ENSG00000169180.11	XPO6
ENSG00000171155.8	C1GALT1C1
ENSG00000171611.9	PTCRA
ENSG00000169413.3	RNASE6
ENSG00000143344.15	RGL1
ENSG00000144369.13	FAM171B
ENSG00000170367.5	CST5
ENSG00000087884.14	AAMDC
ENSG00000171459.4	OR1L6
ENSG00000170369.4	CST2
ENSG00000146223.14	RPL7L1
ENSG00000168140.5	VASN
ENSG00000100731.15	PCNX1
ENSG00000171051.8	FPR1
ENSG00000170373.8	CST1
ENSG00000215241.4	LINC02449
ENSG00000126016.15	AMOT
ENSG00000169291.10	SHE
ENSG00000171533.11	MAP6
ENSG00000187323.12	DCC
ENSG00000175556.16	LONRF3
ENSG00000143742.13	SRP9
ENSG00000170191.5	NANP
ENSG00000169953.12	HSFY2
ENSG00000168701.19	TMEM208
ENSG00000170950.5	PGK2
ENSG00000168092.14	PAFAH1B2
ENSG00000171481.4	OR1L3
ENSG00000189159.16	JPT1
ENSG00000169902.15	TPST1
ENSG00000170606.15	HSPA4
ENSG00000169021.6	UQCRFS1
ENSG00000171496.4	OR1L8
ENSG00000126522.16	ASL
ENSG00000111907.21	TPD52L1
ENSG00000171505.5	OR1N1
ENSG00000169836.5	TACR3
ENSG00000171195.11	MUC7
ENSG00000168379.8	HLA-DPB2
ENSG00000169919.17	GUSB
ENSG00000172123.12	SLFN12
ENSG00000171201.11	SMR3B
ENSG00000168672.4	LRATD2
ENSG00000172458.4	IL17D
ENSG00000140987.20	ZSCAN32
ENSG00000239827.8	SUGT1P3
ENSG00000168158.3	OR2C1
ENSG00000188290.10	HES4
ENSG00000171209.3	CSN3
ENSG00000171960.11	PPIH
ENSG00000170145.5	SIK2
ENSG00000169031.19	COL4A3
ENSG00000174231.17	PRPF8
ENSG00000198108.4	CHSY3
ENSG00000169484.3	OR4K14
ENSG00000196616.14	ADH1B
ENSG00000169488.6	OR4K15
ENSG00000172023.7	REG1B
ENSG00000169860.7	P2RY1
ENSG00000170619.10	COMMD5
ENSG00000106400.12	ZNHIT1
ENSG00000156096.14	UGT2B4
ENSG00000171840.12	NINJ2
ENSG00000205277.9	MUC12
ENSG00000169047.5	IRS1
ENSG00000172020.12	GAP43
ENSG00000163872.16	YEATS2
ENSG00000167165.19	UGT1A6
ENSG00000171596.7	NMUR1
ENSG00000171561.4	OR2AT4
ENSG00000172016.15	REG3A
ENSG00000171320.14	ESCO2
ENSG00000169314.14	C22orf15
ENSG00000103154.9	NECAB2
ENSG00000241635.7	UGT1A1
ENSG00000168439.16	STIP1
ENSG00000171234.14	UGT2B7
ENSG00000077463.15	AC016586.1
ENSG00000171813.14	PWWP2B
ENSG00000169126.15	ARMC4
ENSG00000218839.5	FAM138C
ENSG00000115353.11	TACR1
ENSG00000171720.10	HDAC3
ENSG00000172421.9	EFCAB3
ENSG00000169627.8	BOLA2B
ENSG00000168830.8	HTR1E
ENSG00000170989.9	S1PR1
ENSG00000169903.6	TM4SF4
ENSG00000087128.10	TMPRSS11E
ENSG00000104228.13	TRIM35
ENSG00000169908.12	TM4SF1
ENSG00000170605.6	OR9K2
ENSG00000168282.5	MGAT2
ENSG00000169403.12	PTAFR
ENSG00000171951.5	SCG2
ENSG00000129682.16	FGF13
ENSG00000169330.8	MINAR1
ENSG00000168959.14	GRM5
ENSG00000170920.2	OR7G3
ENSG00000169085.13	VXN
ENSG00000170923.3	OR7G2
ENSG00000168758.11	SEMA4C
ENSG00000168634.5	WFDC13
ENSG00000170242.17	USP47
ENSG00000218986.1	AL136087.1
ENSG00000166575.17	TMEM135
ENSG00000168763.16	CNNM3
ENSG00000186532.11	SMYD4
ENSG00000170324.21	FRMPD2
ENSG00000247596.9	TWF2
ENSG00000134597.16	RBMX2
ENSG00000172037.14	LAMB2
ENSG00000171763.19	SPATA5L1
ENSG00000197020.11	ZNF100
ENSG00000168743.12	NPNT
ENSG00000168811.7	IL12A
ENSG00000114416.18	FXR1
ENSG00000169217.9	CD2BP2
ENSG00000170484.9	KRT74
ENSG00000215267.8	AKR1C7P
ENSG00000170948.3	MBD3L1
ENSG00000172007.6	RAB33B
ENSG00000168995.13	SIGLEC7
ENSG00000168350.8	DEGS2
ENSG00000106638.16	TBL2
ENSG00000168806.7	LCMT2
ENSG00000168237.18	GLYCTK
ENSG00000187741.15	FANCA
ENSG00000170161.7	AL512625.1
ENSG00000171053.9	PATE1
ENSG00000172292.14	CERS6
ENSG00000186049.8	KRT73
ENSG00000171262.11	FAM98B
ENSG00000170688.4	OR5E1P
ENSG00000148660.20	CAMK2G
ENSG00000112419.14	PHACTR2
ENSG00000121289.18	CEP89
ENSG00000189050.16	RNFT1
ENSG00000168393.13	DTYMK
ENSG00000172115.8	CYCS
ENSG00000168785.8	TSPAN5
ENSG00000187605.15	TET3
ENSG00000172139.15	SLC9C1
ENSG00000171864.5	PRND
ENSG00000171055.15	FEZ2
ENSG00000172156.3	CCL11
ENSG00000186716.20	BCR
ENSG00000170627.11	GTSF1
ENSG00000172059.11	KLF11
ENSG00000168496.4	FEN1
ENSG00000171936.2	OR10H3
ENSG00000171942.4	OR10H2
ENSG00000169856.8	ONECUT1
ENSG00000168589.15	DYNLRB2
ENSG00000170836.11	PPM1D
ENSG00000168159.12	RNF187
ENSG00000172167.8	MTBP
ENSG00000169446.5	MMGT1
ENSG00000171222.10	SCAND1
ENSG00000169252.5	ADRB2
ENSG00000170290.4	SLN
ENSG00000143797.12	MBOAT2
ENSG00000196793.13	ZNF239
ENSG00000170430.10	MGMT
ENSG00000172238.4	ATOH1
ENSG00000123064.12	DDX54
ENSG00000170860.4	LSM3
ENSG00000172046.19	USP19
ENSG00000188641.13	DPYD
ENSG00000172171.11	TEFM
ENSG00000168229.3	PTGDR
ENSG00000157193.17	LRP8
ENSG00000171456.19	ASXL1
ENSG00000169715.14	MT1E
ENSG00000105186.16	ANKRD27
ENSG00000170175.11	CHRNB1
ENSG00000172183.15	ISG20
ENSG00000170876.7	TMEM43
ENSG00000171126.8	KCNG3
ENSG00000168454.11	TXNDC2
ENSG00000169871.13	TRIM56
ENSG00000168875.2	SOX14
ENSG00000168843.14	FSTL5
ENSG00000169087.11	HSPBAP1
ENSG00000170017.12	ALCAM
ENSG00000171103.11	TRMT61B
ENSG00000124134.9	KCNS1
ENSG00000162627.17	SNX7
ENSG00000172053.18	QARS
ENSG00000187954.12	CYHR1
ENSG00000172346.15	CSDC2
ENSG00000169876.13	MUC17
ENSG00000171132.14	PRKCE
ENSG00000171100.14	MTM1
ENSG00000170044.8	ZPLD1
ENSG00000106346.11	USP42
ENSG00000172172.7	MRPL13
ENSG00000145439.12	CBR4
ENSG00000168818.10	STX18
ENSG00000168515.3	SCGB1D1
ENSG00000169105.7	CHST14
ENSG00000168404.13	MLKL
ENSG00000157916.20	RER1
ENSG00000115525.18	ST3GAL5
ENSG00000168269.10	FOXI1
ENSG00000005700.15	IBTK
ENSG00000188581.9	KRTAP1-1
ENSG00000168874.13	ATOH8
ENSG00000169302.16	STK32A
ENSG00000168476.12	REEP4
ENSG00000170615.14	SLC26A5
ENSG00000168916.15	ZNF608
ENSG00000168481.9	LGI3
ENSG00000168505.7	GBX2
ENSG00000154153.13	RETREG1
ENSG00000243130.8	PSG11
ENSG00000170166.6	HOXD4
ENSG00000168502.17	MTCL1
ENSG00000168887.11	C2orf68
ENSG00000186496.12	ZNF396
ENSG00000168487.19	BMP1
ENSG00000168890.14	TMEM150A
ENSG00000170310.15	STX8
ENSG00000168894.9	RNF181
ENSG00000244405.8	ETV5
ENSG00000171634.18	BPTF
ENSG00000168899.5	VAMP5
ENSG00000171530.14	TBCA
ENSG00000177990.11	DPY19L2
ENSG00000171236.10	LRG1
ENSG00000171658.8	NMRAL2P
ENSG00000171227.7	TMEM37
ENSG00000171540.7	OTP
ENSG00000168495.13	POLR3D
ENSG00000168906.13	MAT2A
ENSG00000168938.5	PPIC
ENSG00000250565.7	ATP6V1E2
ENSG00000170632.14	ARMC10
ENSG00000168944.15	CEP120
ENSG00000170088.14	TMEM192
ENSG00000172179.12	PRL
ENSG00000196600.12	SLC22A25
ENSG00000170100.13	ZNF778
ENSG00000171150.9	SOCS5
ENSG00000184492.6	FOXD4L1
ENSG00000124467.18	PSG8
ENSG00000255689.1	AP003174.1
ENSG00000154133.14	ROBO4
ENSG00000171815.5	PCDHB1
ENSG00000171161.13	ZNF672
ENSG00000286140.1	DERPC
ENSG00000172283.10	PRYP4
ENSG00000141524.15	TMC6
ENSG00000242419.5	PCDHGC4
ENSG00000171163.15	ZNF692
ENSG00000169245.6	CXCL10
ENSG00000172288.7	CDY1
ENSG00000169248.12	CXCL11
ENSG00000170142.11	UBE2E1
ENSG00000169253.3	AL669983.1
ENSG00000240450.1	CSPG4P1Y
ENSG00000178927.18	CYBC1
ENSG00000173908.8	KRT28
ENSG00000050628.20	PTGER3
ENSG00000170214.5	ADRA1B
ENSG00000170667.14	RASA4B
ENSG00000171180.2	OR2M4
ENSG00000169683.8	LRRC45
ENSG00000169689.15	CENPX
ENSG00000171017.11	LRRC8E
ENSG00000144354.14	CDCA7
ENSG00000169410.9	PTPN9
ENSG00000169696.16	ASPSCR1
ENSG00000169857.8	AVEN
ENSG00000168746.8	LINC01620
ENSG00000169710.9	FASN
ENSG00000244005.13	NFS1
ENSG00000172348.14	RCAN2
ENSG00000171246.6	NPTX1
ENSG00000168546.11	GFRA2
ENSG00000169718.17	DUS1L
ENSG00000170153.11	RNF150
ENSG00000141564.15	RPTOR
ENSG00000172260.15	NEGR1
ENSG00000169727.12	GPS1
ENSG00000170953.3	OR8B12
ENSG00000172239.14	PAIP1
ENSG00000244231.1	CSPG4P2Y
ENSG00000168143.9	FAM83B
ENSG00000172244.9	C5orf34
ENSG00000169738.7	DCXR
ENSG00000213380.15	COG8
ENSG00000172352.5	CDY1B
ENSG00000169750.9	RAC3
ENSG00000175344.17	CHRNA7
ENSG00000170748.6	RBMXL2
ENSG00000171970.13	ZNF57
ENSG00000171574.18	ZNF584
ENSG00000169018.6	FEM1B
ENSG00000169006.7	NTSR2
ENSG00000145216.16	FIP1L1
ENSG00000172262.11	ZNF131
ENSG00000170270.5	GON7
ENSG00000168539.4	CHRM1
ENSG00000168303.8	MPLKIP
ENSG00000106524.9	ANKMY2
ENSG00000171759.10	PAH
ENSG00000198674.3	OR10G6
ENSG00000170279.3	C7orf33
ENSG00000170185.9	USP38
ENSG00000171014.2	OR4D5
ENSG00000017427.16	IGF1
ENSG00000169918.9	OTUD7A
ENSG00000170234.13	PWWP2A
ENSG00000171243.8	SOSTDC1
ENSG00000168268.11	NT5DC2
ENSG00000168646.13	AXIN2
ENSG00000117481.10	NSUN4
ENSG00000169469.9	SPRR1B
ENSG00000169032.9	MAP2K1
ENSG00000168273.8	SMIM4
ENSG00000172432.19	GTPBP2
ENSG00000172399.5	MYOZ2
ENSG00000196101.9	HLA-DRB3
ENSG00000174373.16	RALGAPA1
ENSG00000075429.8	CACNG5
ENSG00000172403.11	SYNPO2
ENSG00000171989.5	LDHAL6B
ENSG00000169926.11	KLF13
ENSG00000168434.13	COG7
ENSG00000205625.2	AL591499.1
ENSG00000168412.6	MTNR1A
ENSG00000230484.2	OR51A10P
ENSG00000168348.4	INSM2
ENSG00000138592.14	USP8
ENSG00000171045.16	TSNARE1
ENSG00000213203.3	GIMAP1
ENSG00000168792.5	ABHD15
ENSG00000103978.15	TMEM87A
ENSG00000172404.4	DNAJB7
ENSG00000172340.14	SUCLG2
ENSG00000169016.17	E2F6
ENSG00000236349.1	SUCLG2P2
ENSG00000172428.11	COPS9
ENSG00000171115.4	GIMAP8
ENSG00000168517.10	HEXIM2
ENSG00000170248.15	PDCD6IP
ENSG00000132849.20	PATJ
ENSG00000154719.13	MRPL39
ENSG00000170790.5	OR10A2
ENSG00000168447.11	SCNN1B
ENSG00000163297.17	ANTXR2
ENSG00000042781.13	USH2A
ENSG00000197008.9	ZNF138
ENSG00000170801.10	HTRA3
ENSG00000250120.7	PCDHA10
ENSG00000170266.16	GLB1
ENSG00000225697.13	SLC26A6
ENSG00000168209.5	DDIT4
ENSG00000168569.7	TMEM223
ENSG00000171365.17	CLCN5
ENSG00000084453.16	SLCO1A2
ENSG00000171944.2	OR52A5
ENSG00000172468.13	HSFY1
ENSG00000169704.4	GP9
ENSG00000279486.5	OR2AG1
ENSG00000169429.11	CXCL8
ENSG00000169116.11	PARM1
ENSG00000152910.19	CNTNAP4
ENSG00000171847.10	FAM90A1
ENSG00000169435.14	RASSF6
ENSG00000189180.15	ZNF33A
ENSG00000171160.18	MORN4
ENSG00000138769.11	CDKL2
ENSG00000171649.12	ZIK1
ENSG00000169193.12	CCDC126
ENSG00000172478.18	MAB21L4
ENSG00000166743.9	ACSM1
ENSG00000172482.5	AGXT
ENSG00000170264.13	FAM161A
ENSG00000169515.8	CCDC8
ENSG00000170293.9	CMTM8
ENSG00000169064.12	ZBBX
ENSG00000170846.17	AC093323.1
ENSG00000152782.16	PANK1
ENSG00000120549.18	KIAA1217
ENSG00000081026.19	MAGI3
ENSG00000171671.6	SHANK2-AS3
ENSG00000172289.3	OR10V1
ENSG00000170681.6	CAVIN4
ENSG00000168491.10	CCDC110
ENSG00000169154.7	GOT1L1
ENSG00000168172.9	HOOK3
ENSG00000171987.2	C11orf40
ENSG00000172497.9	ACOT12
ENSG00000170027.7	YWHAG
ENSG00000196778.3	OR52K1
ENSG00000170445.15	HARS
ENSG00000172000.7	ZNF556
ENSG00000171860.4	C3AR1
ENSG00000168256.18	NKIRAS2
ENSG00000172366.20	MCRIP2
ENSG00000186272.12	ZNF17
ENSG00000170871.12	KIAA0232
ENSG00000171992.13	SYNPO
ENSG00000166377.20	ATP9B
ENSG00000171552.13	BCL2L1
ENSG00000100934.15	SEC23A
ENSG00000121774.18	KHDRBS1
ENSG00000171428.14	NAT1
ENSG00000171497.5	PPID
ENSG00000078403.17	MLLT10
ENSG00000168438.15	CDC40
ENSG00000171503.11	ETFDH
ENSG00000172009.15	AC006538.1
ENSG00000266074.8	BAHCC1
ENSG00000170891.11	CYTL1
ENSG00000168795.5	ZBTB5
ENSG00000171747.9	LGALS4
ENSG00000171509.16	RXFP1
ENSG00000171928.14	TVP23B
ENSG00000169249.12	ZRSR2
ENSG00000169885.10	CALML6
ENSG00000100325.15	ASCC2
ENSG00000172493.20	AFF1
ENSG00000100461.18	RBM23
ENSG00000172508.10	CARNS1
ENSG00000131446.16	MGAT1
ENSG00000174339.2	OR2Y1
ENSG00000173559.12	NABP1
ENSG00000174748.21	RPL15
ENSG00000174448.8	STARD6
ENSG00000115756.13	HPCAL1
ENSG00000135077.9	HAVCR2
ENSG00000204614.9	TRIM40
ENSG00000042286.15	AIFM2
ENSG00000167881.15	SRP68
ENSG00000174233.11	ADCY6
ENSG00000172543.8	CTSW
ENSG00000103018.16	CYB5B
ENSG00000174442.12	ZWILCH
ENSG00000065457.10	ADAT1
ENSG00000143384.13	MCL1
ENSG00000213139.8	CRYGS
ENSG00000217128.12	FNIP1
ENSG00000120500.17	ARR3
ENSG00000174444.15	RPL4
ENSG00000175121.11	WFDC5
ENSG00000137166.15	FOXP4
ENSG00000174446.13	SNAPC5
ENSG00000172613.8	RAD9A
ENSG00000172638.13	EFEMP2
ENSG00000174326.12	SLC16A11
ENSG00000128626.11	MRPS12
ENSG00000174915.12	PTDSS2
ENSG00000172663.9	TMEM134
ENSG00000174243.10	DDX23
ENSG00000174327.6	SLC16A13
ENSG00000196263.8	ZNF471
ENSG00000008226.19	DLEC1
ENSG00000172969.7	FRG2C
ENSG00000175264.8	CHST1
ENSG00000134955.11	SLC37A2
ENSG00000172971.7	UNC93B3
ENSG00000049883.15	PTCD2
ENSG00000173451.7	THAP2
ENSG00000173166.18	RAPH1
ENSG00000174255.6	ZNF80
ENSG00000174325.5	DIRC1
ENSG00000173728.10	C1orf100
ENSG00000175305.17	CCNE2
ENSG00000172732.12	MUS81
ENSG00000172830.13	SSH3
ENSG00000175065.11	DSG4
ENSG00000174137.12	FAM53A
ENSG00000175309.15	PHYKPL
ENSG00000102900.13	NUP93
ENSG00000172757.13	CFL1
ENSG00000102034.16	ELF4
ENSG00000240184.7	PCDHGC3
ENSG00000176092.15	CRYBG2
ENSG00000171408.14	PDE7B
ENSG00000135469.13	COQ10A
ENSG00000173093.12	CCDC63
ENSG00000175274.18	TP53I11
ENSG00000174628.16	IQCK
ENSG00000174672.16	BRSK2
ENSG00000173431.2	RNASE8
ENSG00000174136.12	RGMB
ENSG00000130545.16	CRB3
ENSG00000175175.6	PPM1E
ENSG00000168418.7	KCNG4
ENSG00000174099.11	MSRB3
ENSG00000154611.14	PSMA8
ENSG00000090686.15	USP48
ENSG00000167196.14	FBXO22
ENSG00000120341.18	SEC16B
ENSG00000172689.2	MS4A10
ENSG00000174016.11	TENT5D
ENSG00000174567.8	GOLT1A
ENSG00000175325.2	PROP1
ENSG00000174106.3	LEMD3
ENSG00000172803.18	SNX32
ENSG00000106404.13	CLDN15
ENSG00000237296.9	SMG1P1
ENSG00000174953.14	DHX36
ENSG00000170890.14	PLA2G1B
ENSG00000173540.12	GMPPB
ENSG00000172716.16	SLFN11
ENSG00000174776.11	WDR49
ENSG00000164305.19	CASP3
ENSG00000172922.9	RNASEH2C
ENSG00000131471.7	AOC3
ENSG00000172932.14	ANKRD13D
ENSG00000138138.13	ATAD1
ENSG00000124564.17	SLC17A3
ENSG00000145113.22	MUC4
ENSG00000079393.20	DUSP13
ENSG00000173114.13	LRRN3
ENSG00000048649.13	RSF1
ENSG00000173320.12	STOX2
ENSG00000173546.7	CSPG4
ENSG00000158941.16	CCAR2
ENSG00000128394.17	APOBEC3F
ENSG00000173548.8	SNX33
ENSG00000144214.9	LYG1
ENSG00000138594.14	TMOD3
ENSG00000169371.13	SNUPN
ENSG00000173020.11	GRK2
ENSG00000172965.16	MIR4435-2HG
ENSG00000174279.4	EVX2
ENSG00000172554.12	SNTG2
ENSG00000173039.19	RELA
ENSG00000173627.8	APOBEC4
ENSG00000160072.19	ATAD3B
ENSG00000196110.7	ZNF699
ENSG00000153094.23	BCL2L11
ENSG00000173926.6	MARCH3
ENSG00000174437.17	ATP2A2
ENSG00000173208.4	ABCD2
ENSG00000174482.10	LINGO2
ENSG00000072062.13	PRKACA
ENSG00000174667.4	OR7D4
ENSG00000173545.5	ZNF622
ENSG00000173692.13	PSMD1
ENSG00000175329.12	ISX
ENSG00000174938.14	SEZ6L2
ENSG00000213983.11	AP1G2
ENSG00000010671.15	BTK
ENSG00000066136.20	NFYC
ENSG00000150990.8	DHX37
ENSG00000175548.9	ALG10B
ENSG00000056291.17	NPFFR2
ENSG00000174939.11	ASPHD1
ENSG00000174943.11	KCTD13
ENSG00000143207.21	COP1
ENSG00000173113.6	TRMT112
ENSG00000173402.11	DAG1
ENSG00000173120.15	KDM2A
ENSG00000172551.11	MUCL1
ENSG00000172748.14	ZNF596
ENSG00000173156.7	RHOD
